Category,Text
API Developer,"an api developer creates and maintains application programming interfaces (apis) that enable data exchange between different software applications or systems.api design and development restful api knowledge security protocols (oauth, jwt)design and implement apis (application programming interfaces) for data communication between different software systems. ensure api security and compatibility. document api usage and specifications."
Accessibility Developer,"an accessibility developer focuses on making digital products and websites accessible to individuals with disabilities, ensuring compliance with accessibility standards.web accessibility standards (e.g., wcag) assistive technologies accessibility testing tools html and css for accessibility aria (accessible rich internet applications) user experience (ux) for accessibility usability testing with individuals with disabilities collaboration attention to detailensure web accessibility for all users, including those with disabilities. implement wcag guidelines and accessibility features. conduct accessibility testing and remediation."
Account Executive,"account executives manage and grow relationships with existing clients or customers. they understand client needs, propose solutions, negotiate contracts, and ensure customer satisfaction, often working closely with sales and customer support teams.sales strategy and planning account management customer relationship management solution selling sales forecasting contract negotiation sales metrics and reportingmanage client accounts, negotiate contracts, and achieve revenue targets by selling products or services. provide ongoing support and solutions to clients. collaborate with cross-functional teams to meet client needs."
Account Manager,"an account manager builds and maintains relationships with clients or customers, ensuring their needs are met and promoting products or services to drive revenue and growth.account management customer relationship management sales and negotiation business development client needs analysisbuild and nurture relationships with key clients, understanding their business goals. identify opportunities for upselling or cross-selling products or services. ensure client satisfaction and retention."
Account Strategist,"account strategists work in advertising or marketing agencies, managing client accounts. they develop strategies to meet client goals, oversee campaign execution, and maintain client satisfaction by providing expert guidance and solutions.account management client relations marketing strategies campaign optimization data analysis communication skillsdevelop account strategies and marketing plans to achieve client objectives. analyze campaign performance data and provide strategic recommendations. collaborate with cross-functional teams."
Accounting Controller,"accounting controllers manage an organizations accounting and financial reporting functions. they ensure accurate financial records, compliance with accounting standards, and timely financial reporting to support informed decision-making.accounting financial reporting financial audits tax compliance accounting software (e.g., sap, oracle) gaap (generally accepted accounting principles)manage accounting functions, including accounts payable and receivable, payroll, and financial statement preparation. conduct financial analysis and forecasting. coordinate audits and tax filings."
Accounting Manager,"accounting managers supervise accounting teams. they ensure accurate financial reporting, manage budgets, and oversee financial transactions and compliance with accounting standards.accounting principles financial reporting team management budgeting financial analysismanage accounting functions, including financial reporting and compliance. ensure accurate and timely financial statements. oversee audits and tax filings."
Acute Care Nurse Practitioner,"acute care nurse practitioners focus on managing acute and critical medical conditions, often working in hospitals or emergency care settings.acute care nursing emergency medicine critical care diagnostic tests treatment planningspecialize in acute care settings, managing complex medical conditions and critical illnesses. collaborate with healthcare teams in hospital settings. make critical medical decisions and interventions."
Addiction Counselor,"an addiction counselor provides support and therapy to individuals struggling with addiction, helping them overcome substance abuse and develop healthier coping strategies.addiction counseling techniques substance abuse treatment counseling ethicsprovide counseling and support to individuals struggling with substance abuse issues. conduct assessments and develop treatment plans. facilitate group therapy sessions."
Administrative Assistant,"an administrative assistant provides administrative support to the organization, including scheduling, document management, and assisting in day-to-day operations.office management administrative tasks communication and organizationprovide administrative support, such as managing documents and organizing files. assist with office tasks and coordinate schedules. handle phone calls and correspondence."
Administrative Coordinator,"administrative coordinators support administrative tasks, including data entry, scheduling, and document management, to enhance organizational efficiency.office administration communication skills organizational skills time management microsoft office proficiencyprovide administrative support to project teams, including scheduling meetings, managing documents, and handling logistics. prepare project reports and presentations. track project budgets and expenses."
Administrative Manager,"administrative managers oversee office operations. they manage administrative staff, coordinate tasks, and ensure smooth office functioning to support the organizations goals.administrative leadership office management staff supervision budgeting and financial management process improvement communication skillsoversee office operations and administrative staff. develop office policies and procedures. manage budgets and resources."
Adult Speech Therapist,"adult speech therapists work with adults to address speech and language disorders. they provide therapy and support to improve communication and enhance quality of life.adult speech therapy speech-language assessment rehabilitation techniques swallowing disorders communication skillsfocus on speech and language therapy for adults with communication challenges. address speech disorders, aphasia, and swallowing difficulties. customize therapy plans for individual needs."
Advertising Account Executive,"an advertising account executive works in advertising agencies, managing client accounts and overseeing the creation and execution of advertising campaigns.advertising and marketing knowledge client relationship management advertising campaign development budget management media planning and buyingmanage advertising campaigns for clients, from planning to execution. develop advertising strategies and creative concepts. monitor campaign performance and provide insights."
Agile Product Owner,"agile product owners work closely with development teams in agile environments. they define and prioritize product backlog items, communicate the product vision, and ensure that the product increments delivered align with customer needs and project objectives.agile product development scrum or kanban frameworks backlog management user story writing prioritization techniques collaboration with development teams product vision and strategyact as the product owner in agile development, making critical decisions and ensuring product goals are met. maintain and prioritize the product backlog. communicate with stakeholders and development teams."
Agile Project Manager,"the agile project manager leads agile teams, facilitating effective project development and delivery. they use agile methodologies to manage tasks, prioritize work, and adapt to changing requirements while fostering collaboration among team members.agile methodologies scrum or kanban team collaboration agile tools (e.g., jira)facilitate agile project development, collaborate with cross-functional teams, and manage project backlogs and sprints. coach and mentor team members on agile practices. drive continuous improvement of agile processes."
Aircraft Design Engineer,"aircraft design engineers design and develop aircraft systems and structures. they work on aircraft components, propulsion systems, and aerodynamics to ensure safety and efficiency.aerospace engineering cad software (e.g., autocad) aerodynamics structural analysis aircraft systems safety regulationsdesign and develop aircraft and aerospace systems. conduct aerodynamic analysis and structural design. ensure compliance with aviation regulations."
Analytical Chemist,"as an analytical chemist, your primary responsibility is to analyze chemical compounds and substances using various laboratory techniques and equipment. you will conduct experiments, interpret results, and generate reports. your role may involve developing analytical methods, maintaining lab equipment, and adhering to safety protocols to ensure accurate and reliable analyses.analytical chemistry laboratory techniques instrumentation data analysis quality control sample preparation scientific software (e.g., chemdraw)perform chemical analyses and experiments to identify and quantify chemical substances. operate laboratory equipment and instruments. document and analyze test results."
Architectural Designer,"architectural designers create architectural plans and designs for buildings and structures, considering aesthetics, functionality, and safety standards.architectural design software (e.g., autocad, revit) building codes and regulations 3d modeling visualization sustainable designdesign architectural plans and layouts for buildings and structures. create detailed drawings and blueprints. ensure designs comply with building codes and regulations."
Architectural Drafter,architectural drafters assist architects and engineers in creating detailed technical drawings and plans for buildings and structures. they use computer-aided design (cad) software to produce accurate and precise architectural drawings.architectural drafting autocad 2d and 3d modeling blueprint reading building codes collaboration with architects detail-orientedprepare detailed architectural drawings and plans using computer-aided design (cad) software. assist architects in project documentation and coordination. ensure compliance with building codes and regulations.
Art Curator,"an art curator is responsible for managing and preserving a collection of artworks. they curate exhibitions, acquire new pieces, and educate the public about the art.art history and knowledge art curation and exhibition planning collections management art market trends cultural awarenesscurate and manage art collections, exhibitions, and galleries. research and select artworks for display. collaborate with artists, collectors, and institutions."
Art Education Coordinator,"an art education coordinator plans and manages art education programs, curriculum development, and educational outreach to promote art appreciation and learning within communities.art education curriculum program development teacher training communication skills artistic expertisecoordinate art education programs, curriculum development, and student assessments. collaborate with other educators and schools. organize art exhibitions and showcases."
Automation Test Engineer,"automation test engineers develop automated test scripts and frameworks to streamline and enhance the testing process. they focus on automating repetitive tests to improve efficiency and maintain test consistency.test automation test framework development continuous integration scripting languages (e.g., python) test reporting code reviewdevelop and maintain automated test scripts using testing tools like selenium or appium. execute automated tests and analyze results. continuously improve test automation frameworks."
